:nemesis	:info	:start-partition	:minority-third
1	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n2" #{}, "n1" #{}, "n0" #{}}]
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	1
1	:invoke	:generate	nil
2	:ok	:generate	2
2	:invoke	:generate	nil
0	:ok	:generate	3
0	:invoke	:generate	nil
1	:ok	:generate	4
2	:ok	:generate	5
1	:invoke	:generate	nil
0	:ok	:generate	6
1	:ok	:generate	7
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	8
1	:ok	:generate	9
0	:invoke	:generate	nil
2	:ok	:generate	10
1	:invoke	:generate	nil
0	:ok	:generate	11
2	:invoke	:generate	nil
1	:ok	:generate	12
0	:invoke	:generate	nil
2	:ok	:generate	13
1	:invoke	:generate	nil
0	:ok	:generate	14
0	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	15
1	:invoke	:generate	nil
0	:ok	:generate	16
2	:ok	:generate	17
1	:ok	:generate	18
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	19
2	:invoke	:generate	nil
1	:ok	:generate	20
2	:ok	:generate	21
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	22
2	:invoke	:generate	nil
0	:ok	:generate	23
0	:invoke	:generate	nil
1	:ok	:generate	24
2	:ok	:generate	25
1	:invoke	:generate	nil
0	:ok	:generate	26
0	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	27
1	:invoke	:generate	nil
0	:ok	:generate	28
0	:invoke	:generate	nil
2	:ok	:generate	29
1	:ok	:generate	30
1	:invoke	:generate	nil
0	:ok	:generate	31
1	:ok	:generate	32
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	33
1	:ok	:generate	33
1	:invoke	:generate	nil
0	:ok	:generate	34
1	:ok	:generate	35
1	:invoke	:generate	nil
1	:ok	:generate	36
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	37
2	:ok	:generate	37
2	:invoke	:generate	nil
1	:ok	:generate	38
0	:invoke	:generate	nil
2	:ok	:generate	39
0	:ok	:generate	40
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	41
2	:invoke	:generate	nil
1	:ok	:generate	42
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	43
0	:ok	:generate	44
1	:ok	:generate	45
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	46
1	:ok	:generate	47
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	48
0	:ok	:generate	48
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	49
0	:invoke	:generate	nil
1	:ok	:generate	50
2	:ok	:generate	50
1	:invoke	:generate	nil
0	:ok	:generate	51
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	52
1	:invoke	:generate	nil
2	:ok	:generate	53
2	:invoke	:generate	nil
0	:ok	:generate	54
0	:invoke	:generate	nil
1	:ok	:generate	55
2	:ok	:generate	55
0	:ok	:generate	56
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	57
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	58
1	:ok	:generate	59
2	:ok	:generate	60
2	:invoke	:generate	nil
0	:invoke	:generate	nil
